Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,"51,481","51,314","50,886","51,504","51,706","51,995","51,673","51,886","52,109","52,451","52,452","52,564"
2017,"52,860","53,164","53,647","53,728","53,850","53,689","53,790","53,981","54,630","54,773","54,882","55,275"
2018,"55,021","55,077","55,240","55,545","55,490","55,349","55,716","55,552","55,661","55,835","55,821","55,486"
2019,"56,660","55,248","56,334","56,502","56,622","57,005","57,692","57,701","57,220","57,201","57,438","57,622"
2020,"57,495","57,337","73,718","63,958",NA,NA,NA,NA,NA,NA,NA,NA
