Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,"56,540","51,943","56,508","55,480","59,074","56,625","59,103","57,785","55,633","57,575","57,008","62,107"
2016,"56,831","54,005","57,911","56,083","59,028","58,294","59,608","58,365","57,177","58,442","58,880","64,725"
2017,"57,469","54,181","59,912","59,282","61,805","60,257","61,323","61,122","60,001","60,471","61,783","67,531"
2018,"60,093","56,201","63,479","59,295","64,229","62,469","63,083","63,306","60,841","62,150","63,097","67,493"
2019,"62,320","56,383","62,935","61,781","65,842","63,795","65,690","66,165","61,668","64,051","65,442","68,992"
2020,"63,590","60,983","79,897","69,984",NA,NA,NA,NA,NA,NA,NA,NA
