Rank,Chain,Sales,Units,Menu Category
1,McDonald's,"$38,524","13,914",Burger
2,Starbucks,"$19,660*","14,606",Coffee Cafe
3,Subway,"$10,410","24,798",Sandwich
4,Taco Bell,"$10,360","6,588",Mexican
5,Chick-fil-A,"$10,180*","2,370",Chicken
6,Burger King,"$9,939","7,330",Burger
7,Wendy's,"$9,405","5,810",Burger
8,Dunkin',"$8,786","9,419",Coffee Cafe
9,Domino's,"$6,591","5,876",Pizza
10,Panera Bread,"$5,760*","2,074",Bakery Cafe
11,Pizza Hut,"$5,526","7,482",Pizza
12,Chipotle Mexican Grill,"$4,805","2,452",Mexican
13,Sonic Drive-In,"$4,447","3,606",Burger
14,KFC,"$4,433","4,074",Chicken
15,Applebee's,"$4,211","1,693",Varied Menu
16,Olive Garden,"$4,082",855,Italian/Pizza
17,Arby's,"$3,886","3,329",Sandwich
18,Little Caesars,"$3,820*","4,350",Pizza
19,Buffalo Wild Wings,"$3,795","1,208",Sports Bar
20,Dairy Queen,"$3,654","4,406",Frozen Desserts
21,Panda Express,"$3,523","2,105",Asian/Noodle
22,Chili's Grill & Bar,"$3,500*","1,251",Varied Menu
23,Jack in the Box,"$3,466","2,237",Burger
24,IHOP,"$3,233","1,705",Family Style
25,Popeyes Louisiana Kitchen,"$3,221","2,347",Chicken
26,Texas Roadhouse,"$2,720*",533,Steak
27,Papa John's,"$2,712","3,199",Pizza
28,Denny's,"$2,661","1,578",Family Style
29,Outback Steakhouse,"$2,611",733,Steak
30,Cracker Barrel,"$2,439",655,Family Style
31,Whataburger,"$2,416",825,Burger
32,Red Lobster,"$2,405*",678,Seafood
33,Jimmy John's Gourmet Sandwiches,"$2,168*","2,840",Sandwich
34,The Cheesecake Factory,"$2,127",201,Varied Menu
35,Hardee's,"$2,120*","1,875",Burger
36,Zaxby's,"$1,849*",906,Chicken
37,LongHorn Steakhouse,"$1,754",520,Steak
38,Golden Corral,"$1,732",489,Family Casual
39,Five Guys Burgers and Fries,"$1,615","1,358",Burger
40,Culver's,"$1,576",686,Burger
41,Red Robin Gourmet Burgers and Brews,"$1,506",555,Varied Menu
42,Carl's Jr.,"$1,415*","1,148",Burger
43,Waffle House,"$1,300*","1,936",Family Style
44,Bojangles',"$1,296",756,Chicken
45,Wingstop,"$1,207","1,124",Chicken
46,Raising Cane's Chicken Fingers,"$1,183",400,Chicken
47,TGI Fridays,"$1,183*",424,Varied Menu
48,Jersey Mike's Subs,"$1,148","1,494",Sandwich
49,BJ's Restaurant & Brewhouse,"$1,116",202,Varied Menu
50,Steak 'n Shake,"$1,034*",594,Burger
